P1001	applies to jurisdiction	the item (an institution, law, public office ...) belongs to or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	of jurisdiction, linked to jurisdiction, belongs to jurisdiction, jurisdiction, applies to jurisdiction,
P289	vessel class	vessel classification (e.g. Nelson-class battleship)	ship class, submarine class, spacecraft class, class of vessel,
P291	place of publication	geographical place of publication of the edition (use 1st edition when referring to works)	release region, publication region, published in (place), publication place, publication location,
P2978	wheel arrangement	Wheel/axle arrangement for locomotives, railcars and other rolling stock	
P30	continent	continent of which the subject is a part. Use for countries, locations in Antarctica, and items located in countries that belong to more than one continent, e.g. Russian cities.	
P306	operating system	operating system (OS) on which a software works or the OS installed on hardware	OS,
P3075	official religion	official religion in this country	state religion, established religion,
P3080	game artist	game artist(s) that produced art assets for a role-playing games, collectible card games, video game, etc.	video game artist, game artwork by, video game artwork by,
P3081	damaged	physical items damaged by this event	structures damaged,
P3085	qualifies for event	this event qualifies for that event	
P3091	mount	creature ridden by the subject, for instance a horse	horse, steed,
P3092	film crew member	member of the crew creating an audiovisual work, used for miscellaneous roles qualified with the job title when no specific property exists. Don't use if such a property is available: notably for cast member (P161), director (P57), etc.)	
P3093	recovered by	person, organisation or vehicle that recovered the item. Use the most specific value known.	recovery vehicle, recovery group,
P3094	develops from	this class of items develops from another class of items	
P3095	practiced by	type of agents that study this religion or activity or work in this profession	studied by, associated with, has proponent, practised by,
P3113	does not have part	use to claim what the item does not have, limited to things which would often be expected to be present.	missing, doesn't have, has part missing, lacks,
P3137	parent peak	parent is the peak whose territory this peak resides in, based on the contour of the lowest col	
P3148	repeals	this document or act repeals that other document or act	cancels, invalidate,
P3150	birthday	item for day and month on which the subject was born. Used when full "date of birth" (P569) isn't known.	
P3156	Australian Classification	rating of an audiovisual work or video game in the Australian Classification system	
P3173	offers view on	things, places another place offers views on	has view of, has views of, offers view of, views of, views to, view of, view to,
P3174	art director	person credited as the art director/artistic director of this work	
P3179	territory overlaps	part or all of the area associated with (this) entity overlaps part or all of the area associated with that entity	partially contains territorial extent,
P3189	innervated by	nerves which innervate this anatomical structure	
P3190	innervates	anatomical structures innervated by this nerve	
P3195	league points system	point system of an e.g. sports league	
P3216	ClassInd rating	rating of an audiovisual work, video game or RPG in the Brazilian Advisory Rating System (ClassInd)	
P3259	intangible cultural heritage status	status of an item that is designated as intangible heritage	
P3263	base	configuration of a polytop vertices around the symmetry axis	
P3264	radix	number of distinct digits in a positional numeral system	
P3275	storyboard artist	person credited as the storyboard artist of this work	story artist, visualizer,
P3279	statistical leader	leader of a sports tournament in one of statistical qualities (points, assists, rebounds etc.). Don't use for overall winner. Use a qualifier to link to the item about the quality.	
P3300	musical conductor	the person who directs a musical group, orchestra or chorus	
P3301	broadcast by	the channel, network, website or service that broadcast this item on tv, radio or online	broadcaster, TV channel, TV network, radio channel, radio network, TV station, radio station, streamed by,
P3306	ICAA rating	rating in the Spanish motion picture content rating system	
P3320	board member	member(s) of the board for the organization	member of the board of directors,
P344	director of photography	person responsible for the framing, lighting and filtration of the subject work	cinematographer,
P35	head of state	official with the highest formal authority in a country	chief of state, president, king, queen, emperor, monarch, state headed by,
P355	subsidiary	subsidiary of a company or organization, opposite of parent company (P749)	subsidiary company, subsidiary entities, parent company of,
P358	discography	link to discography in artist or band page	discography link,
P36	capital	location (city, municipality) of governmental seat of the country, or administrative territorial entity	capital city, capital town, chef-lieu, principal place, county seat, administrative centre,
P361	part of	subject is a part of that object. Inverse property of "has part" (P527).	meronym of, section of, system of, subsystem of, subassembly of, merged into, contained within, assembly of, within a set, part of-property, merged with,
P364	original language of work	language in which a work was originally created	original language, language of the original work, created on language,
P366	use	main use of the subject (includes current and former usage)	function, role, mission, purpose, utility, used for, used in,
P37	official language	language designated as official by this item	language official,
P371	presenter	someone who takes a main role in presenting a radio or television program	host, hostess, TV presenter, TV host,
P375	space launch vehicle	rocket or other vehicle for launching subject payload into outer space	carrier rocket, launch vehicle,
P376	located on astronomical body	astronomical body on which features or places are situated	planet, astronomical body (location),
P38	currency	currency used by item	base currency,
P39	position held	subject currently or formerly holds the object position or public office	political office held, political seat, public office, office held, position occupied,
P397	parent astronomical body	major astronomical body the item belongs to	parent body, orbits,
P398	child astronomical body	minor body that belongs to the item	child body, satellite, orbited by,
P40	child	subject has the object in their family as their offspring son or daughter (independently of their age)	son, daughter, kid, has child, children, sons, daughters, kids, has children, has son, has sons, has daughter, has daughters, has kid, has kids,
P400	platform	platform for which a work has been developed or released / specific platform version of a software developed	platforms, computing platform, game platform,
P403	mouth of the watercourse	the body of water to which the watercourse drains	watercourse outflow, watercourse drain, tributary of, outflow, drain, river mouth, outlet,
P404	game mode	available playing mode(s) in a video game	mode, gameplay,
P407	language of work or name	for works (for original language use P364 and for persons P103 and P1412)	language of the name, language of name, named in language, broadcasting language, audio language, available in, language of work,
P408	software engine	software engine employed by the subject item	engine of software, game engine, powered by,
P410	military rank	military rank achieved by a person (should usually have a "start date" qualifier)	rank,
P411	canonization status	stage in the process of attaining sainthood per the subject's religious organization	sainthood status, canonisation status,
P412	voice type	person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)	vocal type, range of voice, type of voice,
P413	position played on team / speciality	position or specialism of a player on a team, e.g. Small Forward	player position, fielding position, specialism,
P414	stock exchange	exchange on which this company is traded	
P417	patron saint	patron saint adopted by the subject	
P421	located in time zone	time zone for this item	timezone, tz, time zone,
P425	field of this occupation	activity corresponding to this occupation (use only for occupations - for people use Property:P101)	profession's field, activity corresponding to this occupation, field of this profession,
P427	taxonomic type	the type genus of this family (or subfamily, etc), or the type species of this genus (or subgenus, etc)	type species, type genus,
P437	distribution	method (or type) of distribution for the subject	media, media type, type of media, form of publication,
P448	location of spacecraft launch	site or launch pad from where the spacecraft was or will be launched	launch site,
P449	original network	network(s) the radio or television show was originally aired on, not including later re-runs or additional syndication	original channel, channel, TV channel, radio network, network, television channel, radio station, original air channel, broadcast on,
P451	partner	someone with whom the person is in a relationship without being married. Use "spouse" for married couples.	partner, mistress, domestic partner, significant other, life partner, girlfriend, boyfriend, concubine, lover, common-law spouse, cohabitant,
P452	industry	industry of company or organization	field of action, field of exercise, sector, branch, economic branch,
P453	character role	specific role played or filled by subject -- use only as qualifier of "cast member" (P161) or "voice actor" (P725)	role, as,
P459	determination method	qualifier stating how a value has been determined	determined by, method, methodology,
P462	color	color of subject	colour,
P463	member of	part of a specific organization or club. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).	
P466	occupant	person or organization occupying a building or facility	occupied by, tenant, inhabitant,
P467	legislated by	indicates that an act or bill was passed by a legislature.  The value can be a particular session of the legislature	enacted by, passed by,
P469	lakes on river	lakes and reservoirs the river flows through, flows into or flows out of	
P47	shares border with	countries or administrative subdivisions, of equal level, that this item borders, either by land or water	borders, bordered by, adjacent to, next to, border,
P479	input device	input method or device used to interact with a software product	input method, input, mouse, digitiser,
P485	archives at	the institution holding the subject's archives	papers at, correspondence at,
P488	chairperson	presiding member of an organization, group or body	chairman, chairwoman, president, leader,
P495	country of origin	country of origin of the creative work or subject item	place of origin,
P50	author	main creator(s) of a written work	written by, writer,
P504	home port	home port of the vessel (if different from "ship registry"): For civilian ships, the primary port from which the ship operates. Port of registry â†’P532 should be listed in "Ship registry". For warships, this will be the ship's assigned naval base	homeport,
P505	general manager	general manager of a sports team. If he is also an on-field manager use P286 instead	
P509	cause of death	underlying or immediate cause of death.  Underlying cause (e.g. car accident, stomach cancer) preferred.  Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide	death cause, die from,
P512	academic degree	academic degree that the person holds	degree, diploma,
P516	powerplant	equipment or engine used to power the subject	engine, power plant, turbine, rocket engine, reactor, propulsion, power station, powerstation,
P518	applies to part	part of the item for which the claim is valid	valid for part, line item,
P520	armament	equippable weapon item for the subject	armed with, weapon, Ship armament,
P53	noble family	include dynasty and nobility houses	royal house, dynasty, house,
P530	diplomatic relation	diplomatic relations of the country	
P532	port of registry	ship's port of registry. This is generally painted on the ship's stern (for the "home port", see Property:P504)	
P54	member of sports team	sports teams or clubs that the subject currently represents or formerly represented	member of team, team, team played for, played for, plays for, teams played for, of team, club played for,
P541	office contested	title of office which election will determine the next holder of	position contested,
P551	residence	the place where the person is, or has been, resident	lived in, resident in,
P552	handedness	handedness of the person	
P556	crystal system	type of crystal for mineralsÂ and/or for crystal coumpounds	
P559	terminus	the feature (intersecting road, train station, etc.) at the end of a linear feature	endpoint, termini, between,
P560	direction	a directional identifier of something	
P566	basionym	the legitimate, previously published name on which a new combination or name at new rank is based	
P57	director	director(s) of this motion picture, play, video game or similar	directed by, film director, movie director,
P58	screenwriter	author(s) of the screenplay or script for this work	scriptwriter, screenplay by, teleplay by, writer (of screenplays),
P59	constellation	the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)	
P6	head of government	head of the executive power of a town, city, municipality, state, country, or other governmental body	mayor, prime minister, premier, first minister, head of national government, government heading by, executive power heading by, chancellor, president,
P607	conflict	battles, wars or engagements in which the person or item participated	war, battle, theater, theatre,
P608	exhibition history	exhibitions where the item was displayed	
P609	terminus location	location of the terminus of a linear feature	destination, departure point, from, to, between,
P61	discoverer or inventor	discovered, first described, or invented by	inventor, discovered by, invented by, discoverer, coined by, first described by,
P610	highest point	point with highest elevation in a region, on a path, of a race	highest peak, zenith,
P611	religious order	order of monks or nuns which the monastery housed	
P629	edition or translation of	is an edition or translation of this entity	edition of, translation of,
P636	route of administration	path by which a drug, fluid, poison, or other substance is taken into the body	
P641	sport	sport in which the entity participates or belongs to	sports,
P655	translator	adapts a creative work to another language	translated by,
P658	tracklist	songs contained in this item	
P664	organizer	person or institution organizing an event	organiser,
P669	located on street	street, road, or square, where the item is located. To add the number, use Property:P670 "street number" as qualifier	is on, street, adress street, square,
P674	characters	characters which appear in this item (plays, operas, operettas, books...)	
P676	lyrics by	author of song lyrics; also use P86 for music composer	lyricist, lyracist, words by, writer (of song lyrics),
P680	molecular function	represents gene ontology function annotations	
P681	cell component	component of the cell in which this item is present	subcellular localization,
P682	biological process	is involved in the biological process	
P684	ortholog	orthologous gene in another species (use with 'species' qualifier)	
P688	encodes	the product of a gene (protein or RNA)	codes for,
P689	afflicts	type of organism which a condition or disease afflicts	
P69	educated at	educational institution attended by the subject	education, alumni of, alumnus of, alumna of, college attended, university attended, school attended, studied at, alma mater, graduate of, graduated from, edu,
P690	space group	symmetry classification for 2 and 3 dimensional patterns or crystals	
P7	brother	subject has the object as their brother	has brother, sibling, bro,
P702	encoded by	the gene that encodes some gene product	
P703	found in taxon	the taxon in which the molecule or substance can be found	species,
P706	located on terrain feature	located on the specified landform or body of water. Should not be used when the value is only political/administrative (provinces, states, countries, etc.).	takes place in, on geographical feature, on natural feature, is on, is in, location (terrain feature), island,
P708	diocese	administrative division of the church to which the element belongs	eparchy, eparchia,
P710	participant	person, group of people or organization that actively takes/took part in the event.  Preferably qualify with "has role" (P2868). Use P1923 for the team	artist, artists, participants, athlete, athletes, attendee, player, competitor, candidate, party, event participant, agent,
P725	voice actor	performer of a spoken role in a creative work such as animation, video game, radio drama, or dubbing over [use "character role" (P453) as qualifier] [use "cast member" (P161) for live acting]	voice dubber, dubbed by, VO, Seiyu, voiced by, CV,
P726	candidate	person or party that is an option for an office in an election	
P734	family name	surname or last name of a person	last name, has surname, surname,
P735	given name	first name or another given name of this person. Values used with the property shouldn't link disambiguations nor family names.	forename, first name, personal name, christian name, middle name,
P737	influenced by	this person, idea, etc. is informed by that other person, idea, etc., e.g. "Heidegger was influenced by Aristotle".	informed by, has influence,
P739	ammunition	cartridge or other ammunition used by the subject weapon	cartridge,
P740	location of formation	location where a group or organization was formed	originates from, comes from, place of foundation, founded in, formation location, source location of group/organisation,
P748	appointed by	who appointed the person to the office, can be used as a qualifier	
P749	parent organization	a parent company of an organisation, opposite of subsidiaries (P355)	owned by (company or organization), subsidiary of, parent company, parent organisation, owned by (company or organisation), holding, holding company,
P750	distributor	distributor of a creative work	distributed by,
P765	surface played on	the surface on which the tournament is played	
P767	contributor	person or organization that contributed to a subject: co-creator of a creative work; a player assisted to score a point or a goal in a game etc.	assistant,
P768	electoral district	electoral district this person is representing	constituency, ward, riding, electoral area, electorate,
P769	significant drug interaction	clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.	drug interaction,
P780	symptoms	possible symptoms of a medical condition	signs,
P789	edibility	whether something can be eaten or not	Mushroom edibility, Palatiblity,
P790	approved by	item is approved by other item(s) [qualifier: statement is approved by other item(s)]	
P793	significant event	significant or notable events associated with the subject	key event, key incident, significant incident, notable event, notable incident, major event, big event, main events,
P800	notable work	subject's notable scientific work or work of art, literature, or significance	literary works, bibliography, work, works, major works, famous works, significant works, known for, notable books, famous books,
P802	student	notable student(s) of a person	students, teacher of, pupil, pupils, disciple, disciples,
P805	subject of	(qualifier only) item which describes the relation identified in this statement	dedicated item, article, artfor,
P81	connecting line	railway or public transport line(s) subject is directly connected to	railway line, rapid transit line, line connected to, rail line connected to,
P816	decays to	what isotope does this radioactive isotope decay to	
P825	dedicated to	person or organization to whom the subject was dedicated	dedication,
P826	tonality	key of a musical composition	musical key, key of musical composition,
P828	has cause	underlying cause, thing that ultimately resulted in this effect	cause, has causes, has underlying cause, underlying cause, ultimate cause, ultimate causes, initial cause, effect of, outcome of, result of, has reason, reason, caused by,
P837	day in year for periodic occurrence	when a specific holiday or periodic event occurs. Can be used as property or qualifier	day of periodic occurrence, day in year, day, date, recurring event, periodic occurrence,
P84	architect	person or architectural firm that designed this building	
P840	narrative location	the narrative of the work is set in this location	setting location, narrative set in,
P841	feast day	saint's principal feast day	
P85	anthem	name of the subject's anthem	national anthem,
P859	sponsor	enterprise or individual that sponsors this item	funded by, funder,
P86	composer	person(s) who wrote the music; also use P676 for lyricist	songwriter, composed by, musical score by, music by,
P870	instrumentation	combination of musical instruments employed in a composition	
P88	commissioned by	person or organization that commissioned this work	client, commissioner, made for, built for,
P880	CPU	central processing unit found within the subject item	central processing unit,
P9	sister	subject has the object as their sister (female sibling)	has sister, sibling,
P91	sexual orientation	the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death	
P914	USK rating	German video game content rating - see talk page for appropriate values	Unterhaltungssoftware Selbstkontrolle rating,
P915	filming location	actual place where this scene/film was shot	location of filming, location where filmed, studio where filmed, place of filming, place where filmed, recorded at,
P921	main subject	primary topic of a work	index term, topic of work, main topic, aboutness, about, topic, subject, subject heading, subject of, mainly about,
P930	type of electrification	electrification system scheme and/or voltage	electrification type,
P931	place served by airport	city or region served by this airport	serves city, city served,
P937	work location	location where persons were active	workplace, work location, place of activity, active in,
P941	inspired by	work, human, or event which inspired this creative work	source of inspiration, inspiration,
P97	noble title	titles held by the person	peerage, title (hereditary), hereditary title, royal title,
P972	catalog	catalog for the item, or, as a qualifier of P528 â€“ catalog for which the 'catalog code' is valid	catalogue, registry,
P974	tributary	stream or river that flows into this main stem (or parent) river or a lake	
P98	editor	editor of a compiled work such as a book or academic journal	compiler, edited by, compiled by,
P991	successful candidate	person(s) elected after the election	elected person,
